"year","college","crew","gender","race","leg","seconds","distance"
2010,"Catz",1,"M","Newnham Short Course",NA,369,2000
2010,"Robinson",1,"M","Newnham Short Course",NA,370,2000
2010,"Sidney",1,"M","Newnham Short Course",NA,371,2000
2010,"Caius",1,"M","Newnham Short Course",NA,372,2000
2010,"Girton",1,"M","Newnham Short Course",NA,383,2000
2010,"Churchill",1,"M","Newnham Short Course",NA,384,2000
2010,"Selwyn",1,"M","Newnham Short Course",NA,390,2000
2010,"Magdalene",2,"M","Newnham Short Course",NA,392,2000
2010,"Pembroke",2,"M","Newnham Short Course",NA,393,2000
2010,"Pembroke",3,"M","Newnham Short Course",NA,394,2000
2010,"Eddies",1,"M","Newnham Short Course",NA,396,2000
2010,"Christs",1,"M","Newnham Short Course",NA,398,2000
2010,"Sidney",2,"M","Newnham Short Course",NA,405,2000
2010,"Maggie",3,"M","Newnham Short Course",NA,406,2000
2010,"Robinson",2,"M","Newnham Short Course",NA,408,2000
2010,"Clare",2,"M","Newnham Short Course",NA,409,2000
2010,"Queens",2,"M","Newnham Short Course",NA,410,2000
2010,"TitHall",2,"M","Newnham Short Course",NA,410,2000
2010,"Churchill",2,"M","Newnham Short Course",NA,410,2000
2010,"Caius",2,"M","Newnham Short Course",NA,411,2000
2010,"Christs",2,"M","Newnham Short Course",NA,413,2000
2010,"FaT",3,"M","Newnham Short Course",NA,419,2000
2010,"Queens",3,"M","Newnham Short Course",NA,421,2000
2010,"Christs",3,"M","Newnham Short Course",NA,425,2000
2010,"HughesHall",1,"M","Newnham Short Course",NA,426,2000
2010,"Caius",3,"M","Newnham Short Course",NA,426,2000
2010,"Eddies",2,"M","Newnham Short Course",NA,426,2000
2010,"Churchill",3,"M","Newnham Short Course",NA,436,2000
2010,"Magdalene",3,"M","Newnham Short Course",NA,437,2000
2010,"Selwyn",2,"M","Newnham Short Course",NA,438,2000
2010,"Christs",1,"F","Newnham Short Course",NA,442,2000
2010,"Pembroke",1,"F","Newnham Short Course",NA,448,2000
2010,"Magdalene",1,"F","Newnham Short Course",NA,451,2000
2010,"Emma",4,"M","Newnham Short Course",NA,455,2000
2010,"Caius",1,"F","Newnham Short Course",NA,459,2000
2010,"Catz",1,"F","Newnham Short Course",NA,464,2000
2010,"Selwyn",1,"F","Newnham Short Course",NA,465,2000
2010,"Kings",1,"F","Newnham Short Course",NA,466,2000
2010,"Emma",2,"F","Newnham Short Course",NA,469,2000
2010,"Peterhouse",1,"F","Newnham Short Course",NA,475,2000
2010,"HughesHall",1,"F","Newnham Short Course",NA,483,2000
2010,"Queens",4,"M","Newnham Short Course",NA,483,2000
2010,"Christs",2,"F","Newnham Short Course",NA,489,2000
2010,"Downing",2,"F","Newnham Short Course",NA,494,2000
2010,"Queens",2,"F","Newnham Short Course",NA,496,2000
2010,"Newnham",3,"F","Newnham Short Course",NA,499,2000
2010,"Sidney",2,"F","Newnham Short Course",NA,499,2000
2010,"Eddies",1,"F","Newnham Short Course",NA,501,2000
2010,"Clare",2,"F","Newnham Short Course",NA,502,2000
2010,"Medwards",2,"F","Newnham Short Course",NA,506,2000
2010,"Maggie",4,"M","Newnham Short Course",NA,511,2000
